"Period","Rcp","Temp"
"Period 07-21","RCP2.6",4.8402397260274
"Period 07-21","RCP2.6",4.66325819672131
"Period 07-21","RCP2.6",4.78180821917808
"Period 07-21","RCP2.6",4.7478698630137
"Period 07-21","RCP2.6",4.78182191780822
"Period 07-21","RCP2.6",4.73838114754098
"Period 07-21","RCP2.6",4.69568493150685
"Period 07-21","RCP2.6",4.68061643835616
"Period 07-21","RCP2.6",4.87178767123288
"Period 07-21","RCP2.6",4.92534836065574
"Period 07-21","RCP2.6",4.8801301369863
"Period 07-21","RCP2.6",4.86660273972603
"Period 07-21","RCP2.6",4.83218493150685
"Period 07-21","RCP2.6",4.65049180327869
"Period 07-21","RCP2.6",5.1052397260274
"Period 07-21","RCP6.0",4.98776712328767
"Period 07-21","RCP6.0",4.92309426229508
"Period 07-21","RCP6.0",4.83630136986301
"Period 07-21","RCP6.0",4.79619178082192
"Period 07-21","RCP6.0",4.95675342465753
"Period 07-21","RCP6.0",4.81313524590164
"Period 07-21","RCP6.0",4.75695890410959
"Period 07-21","RCP6.0",4.78066438356164
"Period 07-21","RCP6.0",4.87462328767123
"Period 07-21","RCP6.0",4.80786202185792
"Period 07-21","RCP6.0",4.72493150684932
"Period 07-21","RCP6.0",5.0946301369863
"Period 07-21","RCP6.0",5.19517123287671
"Period 07-21","RCP6.0",4.93190573770492
"Period 07-21","RCP6.0",4.71506164383562
"Period 07-21","RCP8.5",4.62307534246575
"Period 07-21","RCP8.5",4.6983674863388
"Period 07-21","RCP8.5",5.09578767123288
"Period 07-21","RCP8.5",4.92579452054794
"Period 07-21","RCP8.5",4.71175342465753
"Period 07-21","RCP8.5",4.66658469945355
"Period 07-21","RCP8.5",4.67308904109589
"Period 07-21","RCP8.5",5.06915753424658
"Period 07-21","RCP8.5",4.90810273972603
"Period 07-21","RCP8.5",4.8844262295082
"Period 07-21","RCP8.5",4.77415068493151
"Period 07-21","RCP8.5",5.03578082191781
"Period 07-21","RCP8.5",4.8863904109589
"Period 07-21","RCP8.5",4.83425546448087
"Period 07-21","RCP8.5",4.90735616438356
"Period 45-59","RCP2.6",4.94844520547945
"Period 45-59","RCP2.6",4.61128767123288
"Period 45-59","RCP2.6",5.05198630136986
"Period 45-59","RCP2.6",4.72879098360656
"Period 45-59","RCP2.6",5.05280136986301
"Period 45-59","RCP2.6",4.79201369863014
"Period 45-59","RCP2.6",4.82643835616438
"Period 45-59","RCP2.6",4.67210382513661
"Period 45-59","RCP2.6",5.04616438356164
"Period 45-59","RCP2.6",4.95221917808219
"Period 45-59","RCP2.6",5.00089726027397
"Period 45-59","RCP2.6",4.91387295081967
"Period 45-59","RCP2.6",4.52908904109589
"Period 45-59","RCP2.6",4.89328082191781
"Period 45-59","RCP2.6",4.95737671232877
"Period 45-59","RCP6.0",4.92954109589041
"Period 45-59","RCP6.0",4.81140410958904
"Period 45-59","RCP6.0",4.80265753424657
"Period 45-59","RCP6.0",5.25005464480874
"Period 45-59","RCP6.0",4.94469178082192
"Period 45-59","RCP6.0",4.73379452054794
"Period 45-59","RCP6.0",4.97571232876712
"Period 45-59","RCP6.0",4.9003825136612
"Period 45-59","RCP6.0",4.73843150684931
"Period 45-59","RCP6.0",5.32587671232877
"Period 45-59","RCP6.0",5.19579452054795
"Period 45-59","RCP6.0",5.18630464480874
"Period 45-59","RCP6.0",4.79409589041096
"Period 45-59","RCP6.0",4.54291095890411
"Period 45-59","RCP6.0",4.84932876712329
"Period 45-59","RCP8.5",4.9458698630137
"Period 45-59","RCP8.5",4.94295890410959
"Period 45-59","RCP8.5",5.41435616438356
"Period 45-59","RCP8.5",4.94263661202186
"Period 45-59","RCP8.5",4.91281506849315
"Period 45-59","RCP8.5",5.37833561643836
"Period 45-59","RCP8.5",4.97691095890411
"Period 45-59","RCP8.5",5.29440573770492
"Period 45-59","RCP8.5",5.35214383561644
"Period 45-59","RCP8.5",5.25756164383562
"Period 45-59","RCP8.5",5.21402054794521
"Period 45-59","RCP8.5",5.09369535519126
"Period 45-59","RCP8.5",5.47485616438356
"Period 45-59","RCP8.5",5.40817123287671
"Period 45-59","RCP8.5",5.84286301369863
"Period 85-99","RCP2.6",5.35954109589041
"Period 85-99","RCP2.6",4.8692602739726
"Period 85-99","RCP2.6",4.80961643835616
"Period 85-99","RCP2.6",5.03409153005464
"Period 85-99","RCP2.6",4.71482191780822
"Period 85-99","RCP2.6",5.08939726027397
"Period 85-99","RCP2.6",4.4675
"Period 85-99","RCP2.6",4.64708333333333
"Period 85-99","RCP2.6",4.92600684931507
"Period 85-99","RCP2.6",4.96887671232877
"Period 85-99","RCP2.6",5.07672602739726
"Period 85-99","RCP2.6",4.71687158469945
"Period 85-99","RCP2.6",5.03052739726027
"Period 85-99","RCP2.6",5.16909589041096
"Period 85-99","RCP2.6",5.50571917808219
"Period 85-99","RCP6.0",5.35356164383562
"Period 85-99","RCP6.0",5.26650684931507
"Period 85-99","RCP6.0",5.0371301369863
"Period 85-99","RCP6.0",5.49965846994535
"Period 85-99","RCP6.0",5.35132191780822
"Period 85-99","RCP6.0",5.58967123287671
"Period 85-99","RCP6.0",5.63914383561644
"Period 85-99","RCP6.0",5.36545081967213
"Period 85-99","RCP6.0",5.25873287671233
"Period 85-99","RCP6.0",5.45724657534247
"Period 85-99","RCP6.0",5.33047260273973
"Period 85-99","RCP6.0",5.3316325136612
"Period 85-99","RCP6.0",5.19467808219178
"Period 85-99","RCP6.0",5.19987671232877
"Period 85-99","RCP6.0",5.80991780821918
"Period 85-99","RCP8.5",5.96724657534247
"Period 85-99","RCP8.5",5.5693904109589
"Period 85-99","RCP8.5",6.35071917808219
"Period 85-99","RCP8.5",6.13702868852459
"Period 85-99","RCP8.5",6.13459589041096
"Period 85-99","RCP8.5",5.74104109589041
"Period 85-99","RCP8.5",6.54441095890411
"Period 85-99","RCP8.5",6.34754098360656
"Period 85-99","RCP8.5",6.2138904109589
"Period 85-99","RCP8.5",5.94629452054795
"Period 85-99","RCP8.5",6.29784931506849
"Period 85-99","RCP8.5",6.64190573770492
"Period 85-99","RCP8.5",6.71569863013699
"Period 85-99","RCP8.5",6.70547945205479
"Period 85-99","RCP8.5",7.39910273972603
